precision,accuracy,recall,threshold,cost
0.08118094548089114,0.08350195114900998,1.0,0.15504691837208862,25374
0.08114765975945515,0.08353808353808354,0.999553770638108,0.15518739161225628,25373
0.08115059957251024,0.08357421592715711,0.999553770638108,0.15588912991750584,25372
0.08115353959857981,0.08361034831623067,0.999553770638108,0.15652808233189017,25371
0.08115647983768703,0.08364648070530424,0.999553770638108,0.15660714401473813,25370
0.08115942028985507,0.08361034831623067,0.999553770638108,0.15753838653182348,25380
0.0811261277582521,0.08364648070530424,0.9991075412762159,0.1578504468964848,25379
0.0811290673237191,0.0836826130943778,0.9991075412762159,0.15891354537900454,25378
0.08113200710222125,0.08371874548345136,0.9991075412762159,0.15903142354208313,25377
0.0811349470937817,0.08375487787252493,0.9991075412762159,0.15916864866211855,25376
0.08113788729842362,0.08379101026159849,0.9991075412762159,0.15956414016306042,25375
0.08114082771617018,0.08382714265067207,0.9991075412762159,0.1596608213375042,25374
0.08114376834704454,0.08379101026159849,0.9991075412762159,0.16011714625906623,25384
0.08111046680197159,0.08382714265067207,0.998661311914324,0.16036861916065995,25383
0.08111340654561269,0.08386327503974562,0.998661311914324,0.1605625342801848,25382
0.08111634650235593,0.0838994074288192,0.998661311914324,0.16056701364426776,25381
0.08111928667222444,0.08393553981789276,0.998661311914324,0.1609473660907401,25380
0.08112222705524141,0.08397167220696633,0.998661311914324,0.161392559613053,25379
0.08112516765143002,0.08400780459603989,0.998661311914324,0.16270350718158508,25378
0.08112810846081346,0.08404393698511345,0.998661311914324,0.16354066063024497,25377
0.0811310494834149,0.08408006937418702,0.998661311914324,0.16361891979844415,25376
0.08113399071925755,0.08411620176326058,0.998661311914324,0.16385752256193464,25375
0.08113693216836457,0.08415233415233415,0.998661311914324,0.1642874915124289,25374
0.08113987383075918,0.08418846654140771,0.998661311914324,0.16430189972613782,25373
0.08114281570646459,0.08422459893048129,0.998661311914324,0.16463591493901755,25372
0.081145757795504,0.08426073131955485,0.998661311914324,0.16544197523929388,25371
0.08114870009790058,0.08429686370862842,0.998661311914324,0.16560481411749325,25370
0.08115164261367756,0.08433299609770198,0.998661311914324,0.16573602677693133,25369
0.08115458534285817,0.08436912848677555,0.998661311914324,0.16616866822827056,25368
0.08115752828546562,0.08440526087584911,0.998661311914324,0.16650103144355574,25367
0.08116047144152312,0.08444139326492267,0.998661311914324,0.1665787866268547,25366
0.0811634148110539,0.08447752565399624,0.998661311914324,0.16683110603468188,25365
0.08116635839408116,0.0845136580430698,0.998661311914324,0.16727154173888717,25364
0.08116930219062818,0.08454979043214338,0.998661311914324,0.16750530499162572,25363
0.08117224620071814,0.08458592282121694,0.998661311914324,0.16776368973743822,25362
0.08117519042437432,0.08462205521029051,0.998661311914324,0.1679353094488076,25361
0.08117813486161994,0.08465818759936407,0.998661311914324,0.16872767954409557,25360
0.08118107951247823,0.08469431998843764,0.998661311914324,0.16924371468314478,25359
0.08118402437697246,0.0847304523775112,0.998661311914324,0.1695520552656734,25358
0.08118696945512588,0.08476658476658476,0.998661311914324,0.16957067769044637,25357
